timestamp,dMax,dMin,dRange
40883,1.0,-1.3031797e-26,1.0
40959,1.0,-2.7613623e-26,1.0
41035,1.0,-5.283077e-26,1.0
41112,1.0,-4.8391643e-26,1.0
41187,1.0,-5.27996e-26,1.0
41260,1.0,-4.9268425e-26,1.0
41331,1.0,-6.1992794e-26,1.0
41401,1.0,-6.6349236e-26,1.0
41471,1.0,-6.7968964e-26,1.0
41539,1.0,-2.512156e-25,1.0
41608,1.0,-7.275138e-26,1.0
41677,1.0,-7.3038185e-26,1.0
41746,1.0,-7.0860836e-26,1.0
41814,1.0,-4.0907112e-25,1.0
41883,1.0,-6.1511996e-26,1.0
41952,1.0,-5.581112e-26,1.0
42021,1.0,-4.971525e-26,1.0
42090,1.0,-4.6947205e-26,1.0
42159,1.0,-1.4706232e-25,1.0
42227,1.0,-6.568922e-25,1.0
42296,1.0,-4.7523e-26,1.0
42364,1.0,-2.753681e-26,1.0
42433,1.0,-2.4413848e-26,1.0
42502,1.0,-2.4577958e-26,1.0
42571,1.0,-8.6426615e-26,1.0
42639,1.0,-2.8034268e-26,1.0
42708,1.0,-2.987987e-26,1.0
42776,1.0,-3.174393e-26,1.0
42844,1.0,-6.4907537e-26,1.0
42911,1.0,-3.6318672e-26,1.0
42976,1.0,-5.442165e-26,1.0
43041,1.0,-4.0209802e-24,1.0
43104,1.0,-2.6764195e-22,1.0
43167,1.0,-1.3798262e-21,1.0
43230,1.0,-2.5194399e-21,1.0
43292,1.0,-3.1651533e-21,1.0
43354,1.0,-3.5156788e-21,1.0
43416,1.0,-3.548798e-21,1.0
43477,1.0,-3.2737488e-21,1.0
43537,1.0,-4.9562326e-22,1.0
43597,1.0,-4.3348404e-22,1.0
43634,1.0,-3.6493892e-22,1.0
43672,1.0,-2.9522124e-22,1.0
43709,1.0,-2.7668525e-22,1.0
43746,1.0,-3.1382518e-22,1.0
43782,1.0,-3.4637148e-22,1.0
43819,1.0,-3.7190914e-22,1.0
43857,1.0,-4.899345e-22,1.0
43897,1.0,-4.4479684e-22,1.0
43934,1.0,-4.0592427e-22,1.0
43971,1.0,-3.9299238e-22,1.0
44009,1.0,-3.7275952e-22,1.0
44047,1.0,-3.469861e-22,1.0
44085,1.0,-3.1729523e-22,1.0
44123,1.0,-2.8572247e-22,1.0
44160,1.0,-2.5371024e-22,1.0
44195,1.0,-2.220986e-22,1.0
44229,1.0,-1.906096e-22,1.0
44262,1.0,-1.6167057e-22,1.0
44297,1.0,-1.345483e-22,1.0
44331,1.0,-1.1053099e-22,1.0
44365,1.0,-8.925858e-23,1.0
44398,1.0,-7.145679e-23,1.0
44431,1.0,-5.621592e-23,1.0
44464,1.0,-4.4052748e-23,1.0
44496,1.0,-3.522952e-23,1.0
44528,1.0,-2.8071902e-23,1.0
44560,1.0,-2.2173509e-23,1.0
44593,1.0,-1.7289797e-23,1.0
44626,1.0,-1.3349787e-23,1.0
44658,1.0,-1.03089866e-23,1.0
44691,1.0,-7.8852674e-24,1.0
44723,1.0,-5.9785575e-24,1.0
44754,1.0,-4.5356126e-24,1.0
44784,1.0,-3.4124663e-24,1.0
44814,1.0,-2.5553412e-24,1.0
44845,1.0,-1.880706e-24,1.0
44875,1.0,-1.3763526e-24,1.0
44906,1.0,-1.0075935e-24,1.0
44937,1.0,-7.267327e-25,1.0
44967,1.0,-5.3125493e-25,1.0
44997,1.0,-3.8704994e-25,1.0
45029,1.0,-2.818186e-25,1.0
45059,1.0,-2.0138789e-25,1.0
45091,1.0,-1.4896508e-25,1.0
45121,1.0,-1.0367766e-25,1.0
45151,1.0,-7.542812e-26,1.0
45182,1.0,-6.741855e-26,1.0
45213,1.0,-4.0806582e-26,1.0
45246,1.0,-3.4841105e-26,1.0
45278,1.0,-5.300192e-26,1.0
45311,1.0,-8.3936846e-26,1.0
45343,1.0,-1.3212465e-25,1.0
45377,1.0,-1.5609634e-26,1.0
45408,1.0,-1.8294179e-26,1.0
45438,1.0,-1.9603576e-26,1.0
45468,1.0,-2.9081826e-26,1.0
45498,1.0,-2.5804894e-26,1.0
45528,1.0,-3.0918087e-26,1.0
45558,1.0,-5.1119348e-26,1.0
45588,1.0,-6.235015e-26,1.0
45617,1.0,-7.886353e-26,1.0
45647,1.0,-9.356424e-26,1.0
45679,1.0,-1.0432799e-25,1.0
45710,1.0,-1.104026e-25,1.0
45738,1.0,-1.7292034e-25,1.0
45767,1.0,-1.1625104e-25,1.0
45793,1.0,-1.1763869e-25,1.0
45821,1.0,-1.1859282e-25,1.0
45852,1.0,-1.1919098e-25,1.0
45880,1.0,-1.1951633e-25,1.0
45908,1.0,-1.1971433e-25,1.0
45935,1.0,-1.1998101e-25,1.0
45963,1.0,-1.2051394e-25,1.0
45991,1.0,-1.215581e-25,1.0
46023,1.0,-1.2368648e-25,1.0
46054,1.0,-1.3040185e-25,1.0
46084,1.0,-2.7501586e-26,1.0
46112,1.0,-1.232094e-26,1.0
46142,1.0,-1.22341726e-26,1.0
46201,1.0,-1.4883926e-26,1.0
46231,1.0,-1.6338241e-26,1.0
46261,1.0,-1.7766158e-26,1.0
46289,1.0,-4.32659e-26,1.0
46322,1.0,-3.8390058e-26,1.0
46349,1.0,-1.13329e-25,1.0
46376,1.0,-3.476337e-25,1.0
46401,1.0,-2.7711596e-26,1.0
46428,1.0,-1.9517702e-26,1.0
46454,1.0,-1.7589067e-26,1.0
46482,1.0,-1.5112623e-26,1.0
46509,1.0,-3.6315264e-25,1.0
46540,1.0,-5.33138e-26,1.0
46566,1.0,-5.214519e-26,1.0
46592,1.0,-3.6390798e-26,1.0
46619,1.0,-7.6454636e-26,1.0
