timestamp,dMax,dMin,dsum
27948,1.0,-2.6264798e-27,4859718.524648152
28080,1.0,-2.3913053e-27,4859715.065053417
28209,1.0,-2.1650879e-27,4859711.523486102
28336,1.0,-1.944848e-27,4859707.914779328
28462,1.0,-1.7323832e-27,4859704.252375956
28590,1.0,-1.6312351e-27,4859700.559837397
28718,1.0,-1.5558466e-27,4859696.828880391
28847,1.0,-1.4794131e-27,4859693.135273621
28979,1.0,-1.401908e-27,4859689.438663251
29110,1.0,-1.767117e-27,4859685.874723059
29239,1.0,-1.8349022e-27,4859682.363147992
29367,1.0,-1.8748535e-27,4859678.968091415
29493,1.0,-1.974292e-27,4859675.717044523
29617,1.0,-2.7927683e-27,4859672.561551074
29737,1.0,-3.6909854e-27,4859669.487839985
29854,1.0,-8.726102e-28,4859666.473808409
29969,1.0,-8.088297e-28,4859663.4941904135
30082,1.0,-7.3634826e-28,4859660.574528564
30196,1.0,-6.5632293e-28,4859657.68665999
30308,1.0,-5.7234993e-28,4859654.874998122
30420,1.0,-4.872629e-28,4859652.131009069
30532,1.0,-4.031992e-28,4859649.450785766
30645,1.0,-3.2115322e-28,4859646.752118829
30756,1.0,-3.6009507e-28,4859644.04404327
30867,1.0,-4.466294e-28,4859641.204118403
30977,1.0,-7.374791e-28,4859638.275441497
31087,1.0,-1.2427418e-27,4859635.279895929
31199,1.0,-1.9521409e-27,4859632.2012141375
31311,1.0,-2.422029e-27,4859629.1414229935
31422,1.0,-2.7272116e-27,4859626.169508036
31532,1.0,-2.8895264e-27,4859623.346856695
31640,1.0,-2.9205204e-27,4859620.710192572
31746,1.0,-2.6028111e-27,4859618.2280138135
31852,1.0,-1.8464172e-27,4859615.8334063925
31958,1.0,-1.2459682e-27,4859613.492246531
32061,1.0,-1.324889e-27,4859611.216638486
32134,1.0,-1.00747485e-27,4859608.892415692
32157,1.0,-8.166159e-28,4859606.702530342
32180,1.0,-6.742678e-28,4859604.515768988
32203,1.0,-4.294067e-28,4859602.508242321
32227,1.0,-4.048305e-28,4859600.364082445
32250,1.0,-4.5531714e-28,4859598.291085033
32273,1.0,-4.4924377e-28,4859596.124572257
32297,1.0,-4.1167884e-28,4859593.818775985
32321,1.0,-3.40233e-28,4859591.344259953
32344,1.0,-2.6188776e-28,4859588.949239036
32368,1.0,-2.012916e-28,4859586.337224679
32392,1.0,-1.7354456e-28,4859583.716009872
32416,1.0,-2.1198396e-28,4859581.073111194
32440,1.0,-2.282187e-28,4859578.394427376
32463,1.0,-2.176493e-28,4859575.827835332
32487,1.0,-1.9555399e-28,4859573.080587683
32511,1.0,-1.5683006e-28,4859570.313390914
32535,1.0,-1.0669698e-28,4859567.494095639
32560,1.0,-9.1014815e-29,4859564.563973337
32584,1.0,-9.042432e-29,4859561.7894008625
32608,1.0,-8.975409e-29,4859559.068145525
32656,1.0,-8.814113e-29,4859553.850979315
32681,1.0,-8.6986865e-29,4859551.228936424
32705,1.0,-8.569681e-29,4859548.7172321165
32729,1.0,-8.429307e-29,4859546.164246773
34810,1.0,-1.1864036e-27,4858033.903942101
34834,1.0,-1.2136503e-27,4857958.723688348
34883,1.0,-7.532737e-28,4857794.772170565
