timestamp,dMax,dMin,dRange
48146,524431500.0,16117.158,524415360.0
48173,527202850.0,17316.797,527185540.0
48202,529011140.0,17063.21,528994080.0
48229,532222660.0,16811.484,532205860.0
48257,536282500.0,16562.207,536265920.0
48285,536217100.0,16328.063,536200770.0
48313,533664600.0,16100.76,533648500.0
48339,529792800.0,15891.602,529776900.0
48366,524945900.0,15691.762,524930200.0
48395,520838240.0,15496.755,520822750.0
48422,521217200.0,15313.748,521201900.0
48449,522496640.0,15137.952,522481500.0
48476,523160500.0,14974.816,523145540.0
48504,525161150.0,14812.468,525146340.0
48530,526384830.0,14659.175,526370180.0
48557,526936400.0,14512.908,526921860.0
48584,526565060.0,14367.319,526550700.0
48610,524745280.0,14232.283,524731040.0
48638,520593400.0,14102.13,520579300.0
48666,515810620.0,13986.027,515796640.0
48692,509823040.0,13879.111,509809150.0
48718,507825300.0,13781.706,507811520.0
48745,510710180.0,13688.359,510696480.0
48772,513253700.0,13606.337,513240100.0
48802,515210100.0,13530.075,515196580.0
48831,517032200.0,13458.855,517018720.0
48857,516849280.0,13393.986,516835870.0
48883,514950500.0,13333.245,514937150.0
48908,511272480.0,13282.558,511259200.0
48934,510112770.0,13244.576,510099520.0
48960,510058720.0,13224.57,510045500.0
48989,512649060.0,13225.872,512635840.0
49018,514872300.0,13251.616,514859040.0
49048,516552060.0,13307.325,516538750.0
49076,517137340.0,13391.778,517123970.0
49103,516310100.0,13499.923,516296600.0
49130,513004930.0,13644.677,512991300.0
49161,509597540.0,13827.705,509583700.0
49191,505398300.0,14046.461,505384260.0
49219,503260540.0,14293.615,503246240.0
49247,501409660.0,14550.19,501395100.0
49275,501174300.0,14811.624,501159500.0
49302,501767070.0,14860.773,501752220.0
49331,501747070.0,15124.142,501731940.0
49358,502114780.0,15235.922,502099550.0
49385,506436400.0,15446.355,506420960.0
49413,510794200.0,15651.841,510778560.0
49440,513420000.0,15799.225,513404200.0
49469,513991300.0,16008.986,513975300.0
49497,513585600.0,15888.259,513569700.0
49523,511530180.0,15650.196,511514530.0
49551,512386900.0,15456.922,512371460.0
49577,514863550.0,15308.223,514848260.0
49604,519124200.0,15224.088,519108960.0
